월일,탄생화 (月),탄생화(日),탄생화 (영문),꽃말,탄생석 (月),의미 (月),탄생석(日),의미 (日),탄생목,의미,별자리 (탄생좌),수호신,수호성,탄생색,색상 코드,색 이름,색 단어,퍼스널리티
1월 10일,튤립 수선화 미모사,회양목,Box-Tree,참고 견뎌냄,가넷,"희생, 충절, 변하지 않는 마음",골드,확실한 조언과 힘,전나무,신비,염소자리,시간을 관장하는 신 크로노스,토성,,#7B8D42,풀색 / 와사비,"영지, 예술, 세련",광대한 감성세계의 소유자
1월 11일,튤립 수선화 미모사,측백나무,Arbor-Vitae,견고한 우정,가넷,"희생, 충절, 변하지 않는 마음",스페큘러 라이트,자기 인식,전나무,신비,염소자리,시간을 관장하는 신 크로노스,토성,,#BDD99F,미스트그린 / 픽시그린,"노력, 재능, 용기",신시대를 만드는 이상적인 사람
1월 12일,튤립 수선화 미모사,스위트 알리섬,Sweet Alyssum,빼어난 미모,가넷,"희생, 충절, 변하지 않는 마음",옵시디언,잡념의 제거,느릅나무,고결,염소자리,시간을 관장하는 신 크로노스,토성,,#D6E9CA,백록 / 페퍼민트,"기품, 외교, 통찰력",행동력 있는 도전가
1월 13일,튤립 수선화 미모사,수선화,Narcissus Jonquill,신비,가넷,"희생, 충절, 변하지 않는 마음",파울러라이트,맺어지는 사랑,느릅나무,고결,염소자리,시간을 관장하는 신 크로노스,토성,,#37A34A,패럿그린 / 샤또그린,"행동력, 겸손, 냉정침착",자기만의 방식으로 살아가는 자립가
1월 14일,튤립 수선화 미모사,시클라멘,Cyclamen,내성적 성격,가넷,"희생, 충절, 변하지 않는 마음",프레쉬 워터 펄,조화로운 애정,느릅나무,고결,염소자리,시간을 관장하는 신 크로노스,토성,,#7B8D42,그래스그린 / 와사비,"감성, 유머러스, 숙성",성숙한 감성의 예술가
1월 15일,튤립 수선화 미모사,가시,Thorn,엄격,가넷,"희생, 충절, 변하지 않는 마음",피존 블러드,불멸,느릅나무,고결,염소자리,시간을 관장하는 신 크로노스,토성,,#00552E,심록 / 브리티쉬 레이싱 그린,"신조, 모범, 자애",빛나는 별 같은 눈동자의 소유자
1월 16일,튤립 수선화 미모사,노랑 히아신스,Hyacinth,승부,가넷,"희생, 충절, 변하지 않는 마음",블루문 스톤,성인의 사랑,느릅나무,고결,염소자리,시간을 관장하는 신 크로노스,토성,,#F0F6DA,화이트릴리 / 벼꽃,"대담, 상상력, 신념",자연을 사랑하는 실천가
1월 17일,튤립 수선화 미모사,수영,Rumex,친근한 정,가넷,"희생, 충절, 변하지 않는 마음",안티몬,사악함으로부터의 방어,느릅나무,고결,염소자리,시간을 관장하는 신 크로노스,토성,,#006E54,맹황색 / 워터코스,"생활, 지도력, 미소",배짱과 호기심많은 미식가
1월 18일,튤립 수선화 미모사,어저귀,Indian Mallow,억측 ,가넷,"희생, 충절, 변하지 않는 마음",로제라이트,희망의 상징,느릅나무,고결,염소자리,시간을 관장하는 신 크로노스,토성,,#47744B,포리지 / 킬라니,"성실, 세련, 겸허",어리고 순수한 사람
1월 19일,튤립 수선화 미모사,소나무,Pine,불로장수,가넷,"희생, 충절, 변하지 않는 마음",암블리고나이트,불멸의 힘,느릅나무,고결,염소자리,시간을 관장하는 신 크로노스,토성,,#9FC24D,리프 그린 / 아틀란티스,"상냥함, 자존심, 정신성",어떤 일에도 열심인 노력가
1월 20일,튤립 수선화 미모사,미나리아 재비,Butter Cup,천진난만,가넷,"희생, 충절, 변하지 않는 마음",스노우프레이크 옵시디언,사랑의 유지,느릅나무,고결,물병자리,태초 하늘의 신 우라노스,천왕성,,#288C66,포레스트그린 / 엘프그린,"에너지, 자기투자",이상이 확실한 사람
1월 21일,튤립 수선화 미모사,담쟁이 덩굴,Ivy,우정,가넷,"희생, 충절, 변하지 않는 마음",피콕 컬러 오팔,구애의 예감,느릅나무,고결,물병자리,태초 하늘의 신 우라노스,천왕성,,#A0D8EF,하늘색 / 샬롯,"감성, 가능성, 예술성",아름다움을 느끼는 재능
1월 22일,튤립 수선화 미모사,이끼,Moss,모성애,가넷,"희생, 충절, 변하지 않는 마음",그타 베릴,은총,느릅나무,고결,물병자리,태초 하늘의 신 우라노스,천왕성,,#00A3AF,옥청색 / 본디블루,"행복, 사랑, 우정",배려심 있는 사람
1월 23일,튤립 수선화 미모사,부들,Bullrusb,순종,가넷,"희생, 충절, 변하지 않는 마음",알렉잰드라이프 가넷,주야의 변모,느릅나무,고결,물병자리,태초 하늘의 신 우라노스,천왕성,,#38A1DB,장풀색 / 서머스카이,"젊음, 정서, 집중력",평화롭고 평온한 마음의 소유자
1월 24일,튤립 수선화 미모사,가을에 피는 사프란,Saffron-Crocus,절도의 미,가넷,"희생, 충절, 변하지 않는 마음",밀키 쿼츠,모성애,느릅나무,고결,물병자리,태초 하늘의 신 우라노스,천왕성,,#00688B,로리깃색 / 블루 라군,"두뇌명석, 성실, 감수성",즐거운 꿈을 향해가는 낙천가
1월 25일,튤립 수선화 미모사,점나도나물,Cerastium,순진,가넷,"희생, 충절, 변하지 않는 마음",사도닉스,행복한 결혼,"편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#0F2350,농랍색 / 사파이어,"이상, 현실, 새로운 생활",평안한 생활이 가능한 사람
1월 26일,튤립 수선화 미모사,미모사,Humble Plant,예민한 아믕,가넷,"희생, 충절, 변하지 않는 마음",파이롭,"업화, 타오르는 마음","편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#E3D7A3,크림색 / 묘목색,"풍부한 표정, 조직, 재치",태양같은 개성의 소유자
1월 27일,튤립 수선화 미모사,마가목,Sorbus,게으름을 모르는 마음,가넷,"희생, 충절, 변하지 않는 마음",알만다인,실행력의 승리,"편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#FEF400,페일레몬 / 노란색,"맵시, 신비적인 눈",세련된 분위기를 가진 사람
1월 28일,튤립 수선화 미모사,검은 포플라,Black Poplar,용기,가넷,"희생, 충절, 변하지 않는 마음",핑크 토파즈,"지력, 체력의 회복","편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#FFD900,민들레색 / 스쿨버스옐로,"모험, 밝음, 호기심",태어날 때부터 낙천가
1월 29일,튤립 수선화 미모사,이끼,Moss,모성애,가넷,"희생, 충절, 변하지 않는 마음",팬텀 크리스털,얼음의 화석,"편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#C3D825,어린풀색 / 푸에고,"운동신경, 지각력, 명예",비범한 설득력의 소유자
1월 30일,튤립 수선화 미모사,매쉬 메리골드,Mash Marigold,반드시 오고야 말 행복,가넷,"희생, 충절, 변하지 않는 마음",파티컬러드 플로라이트,과거와 미래,"편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#529C47,메도우 그린 / 프루트 샐러드,"넘치는 사랑, 동물 애호",동식물과 상성이 좋은 사람
1월 31일,튤립 수선화 미모사,노란 사프란,Spring-Crocus,청춘의 환희,가넷,"희생, 충절, 변하지 않는 마음",알렉산드라이트 캣츠 아이,망설임의 선택과 변신,"편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#E0EBAF,어린싹색 / 터스크,"감상적, 순응, 예의",상처받기 쉬운 로맨티스트
2월,,,,,,,,,,,,,,,,,,
2월 1일,모과 무궁화 살구꽃,앵초,Primrose,젊은 시절과 고뇌,자수정,"현명함, 의미, 위엄, 권력",유렉사이트,꿰뚫어보는 마음,"편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#3F4E93,콘플라워 블루 / 토리 블루,"문화적, 사교적",사회적으로도 매우 인정받는 예술가
2월 2일,모과 무궁화 살구꽃,모과,Chaendmeles,평범,자수정,"현명함, 의미, 위엄, 권력",콩크 펄,가장 사랑하는 사람,"편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#BC64A4,연보라 / 바이올렛 블루,"상상력, 경모, 직관력",타인과 확실한 차가 있는 개성파
2월 3일,모과 무궁화 살구꽃,황새냉이,Cardamine,그대에게 바친다,자수정,"현명함, 의미, 위엄, 권력",메라나이트,"투쟁, 달성","편백나무
(노송나무)",신의,물병자리,태초 하늘의 신 우라노스,천왕성,,#21297E,딥로얄블루 / 미드나잇 블루,"직관력, 수줍음, 위엄",자신의 가치를 아는 천상 프린세스
2월 4일,모과 무궁화 살구꽃,빨간앵초,Primrose,돌보지 않는 아름다움,자수정,"현명함, 의미, 위엄, 권력",바이컬러 아메시스트,깨달음,"미루나무
(포플러나무)",불확실,물병자리,태초 하늘의 신 우라노스,천왕성,,#CCA6BF,홍등색 / 마베릭,"감성, 재색겸비, 외향성",타인과 다르고 싶어하는 개성파
2월 5일,모과 무궁화 살구꽃,양치,Fem,사랑스러움,자수정,"현명함, 의미, 위엄, 권력",프람 스톤,난관을 이기다,"미루나무
(포플러나무)",불확실,물병자리,태초 하늘의 신 우라노스,천왕성,,#50347E,팬지 퍼플 / 킹피셔 데이지,"교육적, 시적, 신비, 몽환",나아갈 길을 아는 영감의 소유자
2월 6일,모과 무궁화 살구꽃,바위솔,Horse-Leek,가사에 근면함,자수정,"현명함, 의미, 위엄, 권력",그레이 스타 사파이어,새벽의 길보,"미루나무
(포플러나무)",불확실,물병자리,태초 하늘의 신 우라노스,천왕성,,#DEBDD8,페일 라일락 / 프렌치 라일락,"가정, 표현력, 품위",타인을 감동시키는 힘의 소유자
2월 7일,모과 무궁화 살구꽃,물망초,Forget-me-not,날 잊지 말아요,자수정,"현명함, 의미, 위엄, 권력",컨곰,규율과 수호,"미루나무
(포플러나무)",불확실,물병자리,태초 하늘의 신 우라노스,천왕성,,#B269A1,모펫 / 바이올렛 블루,"자주성, 천재, 감성",외곬수에 사명감이 있는 기대주
2월 8일,모과 무궁화 살구꽃,범의귀,Saxifrage,절실한 애정,자수정,"현명함, 의미, 위엄, 권력",루틸 레이티드 쿼츠,가정의 평화,"미루나무
(포플러나무)",불확실,물병자리,태초 하늘의 신 우라노스,천왕성,,#6C2735,버건디 / 클라레,"정열, 애교, 사려깊음",흉내가 특기인 귀여운 장난꾸러기
2월 9일,모과 무궁화 살구꽃,은매화,Myrtle,사랑의 속삭임,자수정,"현명함, 의미, 위엄, 권력",레드 재스퍼,올바른 판단,삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#EA4A6E,푸크시아 퍼플 / 푸크시아 퍼플,"국제감각, 활발, 지도자","활약하는 인간, 인간미 있는 열혈한"
2월 10일,모과 무궁화 살구꽃,서향,Winter Daphne,영광,자수정,"현명함, 의미, 위엄, 권력",레드 타이거 아이,운명의 파괴와 창조,삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#EA618E,로즈레드 / 딥 블러시,"애정, 감수성, 지성",타인을 돕고 북돋우는 상냥한 사람
2월 11일,모과 무궁화 살구꽃,멜리사,Balm,동정,자수정,"현명함, 의미, 위엄, 권력",워터 원,시간의 흐름,삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#D3336F,선홍색 / 서리스,"개방적, 단순명쾌, 표현",어떤 일이든 마음속 깊이 기뻐하는 솔직한 사람
2월 12일,모과 무궁화 살구꽃,쥐꼬리망초,Justicia Procumbes,가련미의 극치,자수정,"현명함, 의미, 위엄, 권력",옐로우 스피넬,"자기애, 사랑 적령기",삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#D5345E,커민 / 서리스,"외교적, 정열, 격함",조용하지만 적극적인 행동파
2월 13일,모과 무궁화 살구꽃,갈풀,Canary Grass,끈기,자수정,"현명함, 의미, 위엄, 권력",바이컬러 플로라이트,양면성의 매력,삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#585B54,휘파람새색 / 시카고,"가정, 착실함, 향상심",자신의 가치관을 소중히 키우는 예술가
2월 14일,모과 무궁화 살구꽃,카모밀레,Chamomile,역경에 굴하지 않는 강인함,자수정,"현명함, 의미, 위엄, 권력",핑크 오팔,사랑의 만남,삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#726D40,해송색 / 독미나리색,"이율배반, 성실, 기품",도회적인 센스를 갖춘 사람
2월 15일,모과 무궁화 살구꽃,삼나무,Cedar,그대를 위해 살다,자수정,"현명함, 의미, 위엄, 권력",핑크 지르콘,고통의 완화,삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#89C3EB,물망초색 / 콘플라워,"우정, 평화, 조화",행동 전에 2번 생각하는 신중파
2월 16일,모과 무궁화 살구꽃,월계수,Victor's Laurel,명예,자수정,"현명함, 의미, 위엄, 권력",드라바이트,인생의 전개,삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#A4C1D7,스모크블루 / 스핀들,"겸허, 견실, 극기심",항상 자신을 끌어올리려는 노력가
2월 17일,모과 무궁화 살구꽃,야생화,Wild Flower,친숙한 자연,자수정,"현명함, 의미, 위엄, 권력",타이거 아이언,"용맹, 강한 신념",삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#4C5E74,스몰트 / 샴브레이,"끈기, 완벽주의, 품격",일에 몰두하는 사람
2월 18일,모과 무궁화 살구꽃,미나리아재비,Butter Cup,천진난만,자수정,"현명함, 의미, 위엄, 권력",오렌지 토파즈,"지혜, 논리",삼나무,자신감,물병자리,태초 하늘의 신 우라노스,천왕성,,#6C3524,초콜릿 / 푸에블로,"불굴, 번뜩임, 자기정당화",자신의 생각이 올바르다 주장할 수 있는 사람
2월 19일,모과 무궁화 살구꽃,떡갈나무,Oak,붙임성이 좋음,자수정,"현명함, 의미, 위엄, 권력",워터 드롭 쿼츠,생명,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#223A70,감색 / 레졸루션 블루,"그릇이 큼, 지도자, 감성",자신이 향하는 길을 아는 사람
2월 20일,모과 무궁화 살구꽃,칼미아,Kalmia,커다란 희망,자수정,"현명함, 의미, 위엄, 권력",브라운 오닉스,정절,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#FFF1CF,아기새색 / 바든,"매혹, 개성, 절도",독창적인 센스를 가진 개성파
2월 21일,모과 무궁화 살구꽃,네모필라,Califomia Blue-bell,애국심,자수정,"현명함, 의미, 위엄, 권력",혼,애타는 사랑,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#FFF799,라임 라이트 / 페일 프림,"매혹, 개성, 절도",강렬한 개성과 주장의 소유자
2월 22일,모과 무궁화 살구꽃,무궁화,Rose of Sharon,미묘한 (섬세한) 아름다움,자수정,"현명함, 의미, 위엄, 권력",캣츠 아이 쿼츠,미래의 예감,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#FABF14,울금색 / 문 옐로,"감성, 즐거움, 예술",즐겁게 새로운 것을 추구하는 낙천가
2월 23일,모과 무궁화 살구꽃,살구꽃,Prunus,아가씨의 수줍음,자수정,"현명함, 의미, 위엄, 권력",체리 핑크 루비,사랑의 의혹,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#FFEC47,유채색 / 패리스 데이지,"인도주의, 불언실행",사람들에게 환희를 가져다주는 행동파
2월 24일,모과 무궁화 살구꽃,빙카,Periwinkle,즐거운 추억,자수정,"현명함, 의미, 위엄, 권력",화이트 펑,"겸향, 성의",소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#D8E2AE,리드 그린 / 터스크,"휴식, 사교적",항상 희망을 품고 전진하는 사람
2월 25일,모과 무궁화 살구꽃,사향장미,Musk Rose,변덕스런 사랑,자수정,"현명함, 의미, 위엄, 권력",팬텀 아메시스트,환영,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#E5E8E1,미스트 화이트 / 캣스킬 화이트,"목적, 감명, 명예",끈기로 목적을 달성하는 노력가
2월 26일,모과 무궁화 살구꽃,아도니스,Adonis,추억,자수정,"현명함, 의미, 위엄, 권력",골드 쿼츠,세계를 보는 눈,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#BECEBC,엽리색 / 서프 크레스트,"원만, 노력, 정확",어려운 문제에도 최선을 다하는 도전가
2월 27일,모과 무궁화 살구꽃,아라비아의 별,Star of Arabia,순수,자수정,"현명함, 의미, 위엄, 권력",큐프라이트,다면성,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#A1A46D,버들차색 / 그린 스모크,"즐거움, 대범함, 개방적",규율에 얽매이지 않는 인기인
2월 28일,모과 무궁화 살구꽃,보리,Straw,일치단결,자수정,"현명함, 의미, 위엄, 권력",카모라트 코랄,견디는 마음,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#5F6527,올리브 그린 / 피지 그린,"감성, 견실, 우아",사람들과의 교류를 소중히 하는 사람
2월 29일,모과 무궁화 살구꽃,아르메리아,Armeria,배려,자수정,"현명함, 의미, 위엄, 권력",패러사이트,만물을 향한 비상,소나무,독특,물고기자리,바다의 신 포세이돈,해왕성,,#578A3D,아이비 그린 / 펀 그린,"도덕, 지능, 구상",친구를 잘 돌보는 사람
3월,,,,,,,,,,,,,,,,,,
3월 1일,데이지 밤꽃    박하,수선화,Narcissus Jonquill,자존,아쿠아마린,"영원한 젊음, 행복",플로라이트,비밀의사랑,수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#F5B199,연홍색 / 맨디스 핑크,"책임감, 배려, 상냥함",사람들에게 기운을 주는 인기인
3월 2일,데이지 밤꽃    박하,미나리아재비,Butter Cup,아름다운 인격,아쿠아마린,"영원한 젊음, 행복",쉘 오팔,"화합, 합체",수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#FDEDE4,베이비 핑크 / 로즈 화이트,"이상, 가정적, 포용력",행복한 가정을 가진 사람
3월 3일,데이지 밤꽃    박하,자운영,Astraglus,나의 행복,아쿠아마린,"영원한 젊음, 행복",핑크 베릴,매력적인 배려심,수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#F4B3C2,연분홍색 / 큐피드,"연애, 예의, 반지르르함",사랑받고 있으면 아름답게 빛나는 사람
3월 4일,데이지 밤꽃    박하,나무딸기,Raspberry,애정,아쿠아마린,"영원한 젊음, 행복",실버,젊음의 주장,수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#EA5550,포피 레드 / 플라밍고,"주인공, 고상, 민감",평균으론 만족하지 않는 사람
3월 5일,데이지 밤꽃    박하,수레국화,Corn Flower,행복감,아쿠아마린,"영원한 젊음, 행복",로얄 블루 사파이어,"행운, 천명",수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#CF0125,체리 레드 / 베니션 레드,"애정, 배려, 건전",이상적인 사고방식의 야무진 사람
3월 6일,데이지 밤꽃    박하,데이지,Daisy,명랑,아쿠아마린,"영원한 젊음, 행복",코펄,정(靜)과 동(動),수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#FEF4F4,벚꽃색 / 눈꽃색,"애정, 배려, 건전",사람을 감동시키는 힘이 깃는 사람
3월 7일,데이지 밤꽃    박하,황새냉이,Cardmine,사무치는 그리움,아쿠아마린,"영원한 젊음, 행복",아크로아이트,투명,수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#F3A68C,사몬 핑크 / 토니스 핑크,"부드러움, 상냥함, 감성",타인의 행복을 가슴 깊이 비는 인격자
3월 8일,데이지 밤꽃    박하,밤꽃,Castanea,진심,아쿠아마린,"영원한 젊음, 행복",스미스소나이트,수호,수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#F2A0A1,홍매색 / 웨와크,"애정, 안정, 여성스러움",사랑이 흘러넘치는 여성스러운 사람
3월 9일,데이지 밤꽃    박하,낙엽송,Larch,대담,아쿠아마린,"영원한 젊음, 행복",실버 펄,숭배,수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#F5B1AA,산호색 / 션다운,"의욕, 용맹, 외교적",동경을 실현하려고 애쓰는 행동파
3월 10일,데이지 밤꽃    박하,느릅나무,Hackberry,고귀함,아쿠아마린,"영원한 젊음, 행복",하울라이트,숭고한 상징,수양버들,우울,물고기자리,바다의 신 포세이돈,해왕성,,#E8383D,시그널 레드 / 알리자린,"지속력, 지도자",많은 분야에서 활약하는 인기인
3월 11일,데이지 밤꽃    박하,씀바귀,lxeris,순박함,아쿠아마린,"영원한 젊음, 행복",이네사이트,정열,라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#F4DDA5,숫돌가루색 / 버터밀크,"자비로움, 정열, 손재주",따뜻하고 관대한 마음의 소유자
3월 12일,데이지 밤꽃    박하,수양버들,Weeping Willow,사랑의 슬픔,아쿠아마린,"영원한 젊음, 행복",카야사이트,"순종, 청정",라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#E65454,오렌지 버밀리온 / 발렌시아,"천진함, 감성, 순수",타인을 올바른 방향으로 이끄는 천사
3월 13일,데이지 밤꽃    박하,산옥잠화,Day Lily,사랑의 망각,아쿠아마린,"영원한 젊음, 행복",옐로우 다이아몬드,변화하는 평화,라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#ED6D3D,감색 / 마가목색,"튼튼함, 조직력, 대망",건강함을 어필하는 인기인
3월 14일,데이지 밤꽃    박하,아몬드,Almond,희망,아쿠아마린,"영원한 젊음, 행복",컬러리스 스피넬,순진,라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#E23620,스칼렛 / 진사색,"에너지, 명랑, 정열",화려한 활기로 넘치는 행동파
3월 15일,데이지 밤꽃    박하,독당근,Conium Macutatum,죽음도 아깜지 않으리,아쿠아마린,"영원한 젊음, 행복",오렌지 문스톤,사랑의 촉진,라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#D11C1E,루쥬 / 파이어 엔진 레드,"활발, 건강, 외향성",자발적으로 행동하는 정열가
3월 16일,데이지 밤꽃    박하,박하,Mint,미덕,아쿠아마린,"영원한 젊음, 행복",로즈 쿼츠,사랑을 전하다,라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#D2A4C8,연홍등꽃색 / 라일락,"직관력, 정신고양, 품위",몸도 마음도 여성스러운 솔직한 사람
3월 17일,데이지 밤꽃    박하,콩꽃,Beans,반드시 오고야 말 행복,아쿠아마린,"영원한 젊음, 행복",다이옵테이스,자유로운 삶,라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#915DA3,모브 / 쎄 스와르,"상상력, 센스, 매혹적",계속 새로운 것을 만들어내는 창조자
3월 18일,데이지 밤꽃    박하,아스파라거스,Asparagus,무변화,아쿠아마린,"영원한 젊음, 행복",카올리나이트,배려심,라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#985B9E,캄파넬라 퍼플 / 바이올렛 블루,"예민, 신비적, 고귀",모든 것에 민감한 신비한 사람
3월 19일,데이지 밤꽃    박하,치자나무,Cape Jasmine,한없는 즐거움,아쿠아마린,"영원한 젊음, 행복",바이컬러 쿼츠,봄의 방문,라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#581074,비올레 / 인디고,"침착함, 건강, 안정감",호수 같이 마음이 잔잔하고 아름다운 사람
3월 20일,데이지 밤꽃    박하,보라색 튤립,Tulipa,영원한 애정,아쿠아마린,"영원한 젊음, 행복",유클레이스,면밀한 조사,라임나무,의심,물고기자리,바다의 신 포세이돈,해왕성,,#895B8A,옛자색 / 트렌디 핑크,"침착함, 품위, 고귀",언제나 냉정하게 사물을 판단하는 사람
3월 21일,데이지 밤꽃    박하,벚꽃난,Honey-Plant,인생의 출발,아쿠아마린,"영원한 젊음, 행복",아이언,강인한 파워,떡갈나무,용기,양자리,전쟁의 신 아레스,화성,,#AAA7D0,페일 오키드 / 위스풀,"천부적 재능, 신비, 무관계",주위의 환경을 아름답게 바꾸는 사람
3월 22일,데이지 밤꽃    박하,당아욱,Mallow,은혜,아쿠아마린,"영원한 젊음, 행복",소그디어나이트,생명의 재생,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#BA64A0,딥 모펫 / 홀부쉬,"품격, 민감함, 사양",어디에서든 누구에게든 사랑받는 인기인
3월 23일,데이지 밤꽃    박하,글라디올러스,Gladiolus,정열적인 사랑,아쿠아마린,"영원한 젊음, 행복",픽춰드 재스퍼,몽상,개암나무,비범,양자리,전쟁의 신 아레스,화성,,#745399,에도보라색 / 스튜디오,"안정, 세련, 예술적 재능",결코 자만하지 않는 품격자
